
Page||Recent Revisions||Total Revisions||Recent Reverts||Total Reverts||Recent Contention||Total Contention
戯言シリーズ||718||718||3||3||0.004178272980501393||0.004178272980501393
ビートルズ||718||718||3||3||0.004178272980501393||0.004178272980501393
兵庫県出身の人物一覧||716||716||1||1||0.0013966480446927375||0.0013966480446927375
ウルトラマン||714||714||4||4||0.0056022408963585435||0.0056022408963585435
ゆず (音楽グループ)||714||714||4||4||0.0056022408963585435||0.0056022408963585435
日産・スカイライン||712||712||1||1||0.0014044943820224719||0.0014044943820224719
太臓もて王サーガ||712||712||1||1||0.0014044943820224719||0.0014044943820224719
キャプテン翼||711||711||0||0||0.0||0.0
テレビ埼玉||711||711||0||0||0.0||0.0
自由民主党 (日本)||710||710||1||1||0.0014084507042253522||0.0014084507042253522
JR東日本E231系電車||709||709||8||8||0.011283497884344146||0.011283497884344146
子安武人||708||708||1||1||0.0014124293785310734||0.0014124293785310734
金田一少年の事件簿||707||707||2||2||0.002828854314002829||0.002828854314002829
機動戦士ガンダムSEEDの登場人物||707||707||1||1||0.0014144271570014145||0.0014144271570014145
志田未来||707||707||0||0||0.0||0.0
